name,name_en,logo,rating,city,district,gender,category,min fee
مدارس نجد الأهلية,Najd National Schools,https://storage.yaschools.com/source/school/logos/GAwhaQerCEGf9Of3zrZ0FVqL9AZZS5c5.jpg,2.5,الرياض,الرحمانية,بنين وبنات,أهلية,28 ألف
مدرسة المدينة المنورة,Medina Elementary School,https://storage.yaschools.com/source/school/logos/5peLnPKxEZosJKDRC6guEb1_vNljPYXB.jpg,2.5,الرياض,الدريهمية,بنين,أهلية,0
مدارس مسك العالمية,Misk Schools,https://storage.yaschools.com/source/school/logos/mQkx52BNXvqAQgbNXEpQDJcVXtWEeRVf.jpg,2.5,الرياض,الخزامى,بنين وبنات,عالمية,85 ألف
مدارس النخبة العالمية,Elite International School,https://storage.yaschools.com/source/school/logos/gEymzBtX4H27GAHOwksRA5-vjwzABRF1.jpg,2.5,الرياض,السليمانية,بنين وبنات,عالمية,6 ألف
مدارس الرسالة العالمية,Al Rissalah International Schools,https://storage.yaschools.com/source//1/-eRPm6RM7XwaJuXNbVh5uL115GRlRzi_.jpg,3.9,الرياض,السليمانية,بنين وبنات,عالمية,17 ألف
مدارس التميز التربوي الأهلية,Al Tamyoz Private Schools,https://storage.yaschools.com/source/school/logos/RXceK5w_Hv4LRtzDq1nCpXYc3YdJacIN.jpg,4,الرياض,الياسمين,بنين,أهلية,17 ألف
مدارس دريم العالمية,Dream International School,https://storage.yaschools.com/source//1/aw_S6ZANQC-p5YMwLx2HgnRTNQWOEFiW.png,3.5,الرياض,النزهه,بنين وبنات,عالمية,18 ألف
مدارس نيار الأهلية,Neyar National School,https://storage.yaschools.com/source/school/logos/CLEzl8MsiAKOcfxTtcNhPDEJedjDlhVk.jpg,3.7,الرياض,الربيع,بنين وبنات,أهلية,22 ألف
مدارس دار اللغات العالمية,House Of Languages International Schools,https://storage.yaschools.com/source/school/logos/M_TgJ_cOc4RLOogl-StjgUz5Evp_0gGC.jpg,3.8,الرياض,المروج,بنين وبنات,عالمية,12 ألف
مدارس رياض الريان الأهلية,Riyadh Alrayan Schools,https://storage.yaschools.com/source/school/logos/KJtl2Iqc4V95KIvYAxYp8EDdJiK7a21x.jpg,2.5,الرياض,الريان,بنين وبنات,أهلية,13 ألف
